title,content,format,tags,category,authorEmail,visibility,viewCount,useCount
Meeting Agenda Template,<h2>Meeting: [[meeting_title]]</h2><p><strong>Date:</strong> [[date]]<br><strong>Time:</strong> [[time]]<br><strong>Attendees:</strong> [[attendees]]</p><h3>Agenda Items:</h3><ol><li>[[agenda_item_1]] ([[duration_1]] mins)</li><li>[[agenda_item_2]] ([[duration_2]] mins)</li><li>[[agenda_item_3]] ([[duration_3]] mins)</li></ol><h3>Action Items:</h3><ul><li>[[action_item_1]] - Owner: [[owner_1]]</li><li>[[action_item_2]] - Owner: [[owner_2]]</li></ul>,html,"meeting,business,productivity",Business,alex@example.com,public,520,190
Project Proposal Outline,<h1>Project Proposal: [[project_name]]</h1><h2>Executive Summary</h2><p>[[executive_summary]]</p><h2>Problem Statement</h2><p>[[problem_description]]</p><h2>Proposed Solution</h2><p>[[solution_description]]</p><h2>Objectives</h2><ul><li>[[objective_1]]</li><li>[[objective_2]]</li><li>[[objective_3]]</li></ul><h2>Timeline</h2><p>[[timeline_description]]</p><h2>Budget</h2><p>[[budget_overview]]</p><h2>Expected Outcomes</h2><p>[[expected_outcomes]]</p>,html,"business,proposal,project",Business,rachel@example.com,public,420,150
API Documentation Template,<h1>API Endpoint: [[endpoint_name]]</h1><h2>Overview</h2><p>[[endpoint_description]]</p><h2>Request</h2><p><strong>Method:</strong> [[http_method]]<br><strong>URL:</strong> <code>[[endpoint_url]]</code></p><h3>Headers</h3><pre>[[request_headers]]</pre><h3>Parameters</h3><p>[[parameters_description]]</p><h3>Request Body</h3><pre>[[request_body_example]]</pre><h2>Response</h2><h3>Success Response</h3><pre>[[success_response]]</pre><h3>Error Response</h3><pre>[[error_response]]</pre><h2>Example Usage</h2><pre>[[usage_example]]</pre>,html,"api,documentation,development",Code Generation,daniel@example.com,public,780,320
Bug Report Template,<h2>Bug Report: [[bug_title]]</h2><p><strong>Severity:</strong> [[severity_level]]<br><strong>Environment:</strong> [[environment]]<br><strong>Reporter:</strong> [[reporter_name]]</p><h3>Description</h3><p>[[bug_description]]</p><h3>Steps to Reproduce</h3><ol><li>[[step_1]]</li><li>[[step_2]]</li><li>[[step_3]]</li></ol><h3>Expected Behavior</h3><p>[[expected_behavior]]</p><h3>Actual Behavior</h3><p>[[actual_behavior]]</p><h3>Additional Information</h3><p>[[additional_info]]</p>,html,"development,bug,testing",Code Generation,tom@example.com,public,560,210
Code Review Checklist,<h2>Code Review for: [[pr_title]]</h2><h3>Functionality</h3><ul><li>[ ] Does the code accomplish the intended task?</li><li>[ ] Are edge cases handled properly?</li><li>[ ] Is error handling appropriate?</li></ul><h3>Code Quality</h3><ul><li>[ ] Is the code readable and well-organized?</li><li>[ ] Are variable/function names descriptive?</li><li>[ ] Is there appropriate commenting?</li></ul><h3>Testing</h3><ul><li>[ ] Are there adequate unit tests?</li><li>[ ] Do all tests pass?</li></ul><h3>Notes:</h3><p>[[review_notes]]</p>,html,"code,development,review",Code Generation,ryan@example.com,public,890,410
Python Function Documentation,"<pre>def [[function_name]]([[parameters]]):<br>    ""<br>    [[brief_description]]<br><br>    Args:<br>        [[parameter_descriptions]]<br><br>    Returns:<br>        [[return_description]]<br><br>    Example:<br>        [[usage_example]]<br>    """"""<br>    [[function_body]]</pre>""",html,"code,python,documentation",Code Generation,emily@example.com,public,670,240
React Component Template,"<pre>import React, { useState, useEffect } from 'react';
import './[[component_name]].css';

interface [[component_name]]Props {
  [[prop_definitions]]
}

export const [[component_name]]: React.FC<[[component_name]]Props> = ({
  [[prop_destructuring]]
}) => {
  // State
  const [[[state_name]], set[[state_name_capitalized]]] = useState<[[state_type]]>([[initial_state]]);
  
  // Effects
  useEffect(() => {
    [[effect_logic]]
  }, [[[dependencies]]]);
  
  // Handlers
  const handle[[event_name]] = ([[event_params]]) => {
    [[event_handler_logic]]
  };
  
  return (
    <div className=""[[css_class_name]]"">
      [[jsx_content]]
    </div>
  );
};</pre>",html,"react,javascript,component,frontend",Code Generation,frontend.dev@example.com,public,1850,670
SQL Query Template,"<pre>-- Query: [[query_description]]
-- Author: [[author_name]]
-- Date: [[creation_date]]

SELECT 
    [[select_columns]]
FROM 
    [[primary_table]] AS [[table_alias]]
    [[join_type]] JOIN [[join_table]] AS [[join_alias]]
        ON [[join_condition]]
WHERE 
    [[where_conditions]]
    AND [[additional_condition]]
GROUP BY 
    [[group_by_columns]]
HAVING 
    [[having_condition]]
ORDER BY 
    [[order_by_columns]] [[sort_direction]]
LIMIT [[limit_number]];</pre>",html,"sql,database,query,data",Code Generation,db.admin@example.com,public,1100,450
Game Development Legal Consultant,"You are a game development consultant tasked with providing advice on creating a Minesweeper-like game without infringing on copyrights or trademarks. Your goal is to research Minesweeper, analyze legal considerations, and suggest ways to differentiate a new game from the original, that would also recapture the hearts and minds of game lovers.

First, review the following links related to Minesweeper:

[[LINKS]]

Now, carefully read through these links and any other reputable sources you can find to gather information about Minesweeper. Pay special attention to:

1. The game's history and original creators
2. Gameplay mechanics and rules
3. Visual design elements
4. Any known copyrights, trademarks, or patents associated with the game

Next, analyze the legal considerations for creating a Minesweeper-like game. Consider:

1. What elements of Minesweeper are likely protected by copyright or trademark?
2. What aspects of the game are considered public domain or common game mechanics?
3. Are there any known legal precedents related to Minesweeper clones or similar games?
4. This is a mobile game, so how does that help with what we're doing

Then, brainstorm ideas to differentiate the new game from Minesweeper. Consider:

1. Unique gameplay mechanics that could be added or modified
2. Visual design changes that would set the game apart
3. Thematic alterations that could give the game a distinct identity
4. Customization options or features that could enhance the player experience

Based on your research and analysis, provide your recommendations on:
1. Legal Considerations: Discuss what elements can and cannot be safely used in the new game without risking legal issues.
2. Differentiation Strategies: Suggest at least three specific ways to make the game distinct from Minesweeper, considering gameplay, visuals, and theme.
3. Development Advice: Provide guidance on how to implement the suggested changes without significantly increasing development costs or time.
4. Final Assessment: Offer a brief conclusion on the viability of releasing the game as described, and any final recommendations for proceeding with the project.

Ensure your advice is clear, concise, and actionable for the game developer.",plain,"game-development,legal,consultant,analysis",Consulting,gamedev@example.com,public,450,120
Blog Post Outline Generator,<h1>[[blog_title]]</h1><h2>Introduction</h2><p>[[introduction_paragraph]]</p><h2>Key Points</h2><ul><li>[[point_1]]</li><li>[[point_2]]</li><li>[[point_3]]</li></ul><h2>[[section_title]]</h2><p>[[section_content]]</p><h2>Conclusion</h2><p>[[conclusion_paragraph]]</p>,html,"writing,blog,content",Content Writing,mike@example.com,public,890,320
Customer Support Response,"<p>Hello [[customer_name]],</p><p>Thank you for contacting us about [[issue_description]].</p><p>I understand how [[emotion_acknowledgment]] this must be. Let me help you resolve this right away.</p><p>[[solution_steps]]</p><p>If you continue to experience any issues, please don't hesitate to reach out. We're here to help!</p><p>Best regards,<br>[[agent_name]]<br>Customer Support Team</p>",html,"support,customer-service,email",Customer Support,lisa@example.com,public,780,350
Data Analysis Report,<h1>Data Analysis Report: [[dataset_name]]</h1><h2>Executive Summary</h2><p>[[executive_summary]]</p><h2>Data Overview</h2><p><strong>Date Range:</strong> [[start_date]] to [[end_date]]<br><strong>Sample Size:</strong> [[sample_size]]<br><strong>Key Metrics:</strong> [[key_metrics]]</p><h2>Analysis Methods</h2><p>[[methodology]]</p><h2>Key Findings</h2><ol><li><strong>[[finding_1_title]]</strong><br>[[finding_1_details]]</li><li><strong>[[finding_2_title]]</strong><br>[[finding_2_details]]</li><li><strong>[[finding_3_title]]</strong><br>[[finding_3_details]]</li></ol><h2>Visualizations</h2><p>[[chart_descriptions]]</p><h2>Conclusions</h2><p>[[conclusions]]</p><h2>Recommendations</h2><p>[[recommendations]]</p>,html,"data-analysis,report,statistics,research",Data Analysis,data.analyst@example.com,public,1200,430
Git Commit Message,"<pre>[[commit_type]]([[scope]]): [[subject]]

[[body]]

[[footer]]</pre>

<p><strong>Types:</strong> feat, fix, docs, style, refactor, test, chore<br><strong>Scope:</strong> component, module, or file affected<br><strong>Subject:</strong> Brief description (50 chars max)<br><strong>Body:</strong> Detailed explanation of what and why<br><strong>Footer:</strong> Breaking changes, issue references</p>",html,"git,version-control,development,best-practices",Development,dev.lead@example.com,public,1400,620
Professional Email Response,"<p>Dear [[recipient_name]],</p><p>Thank you for your email regarding [[subject]]. I appreciate you taking the time to reach out.</p><p>[[your_response]]</p><p>Please let me know if you need any additional information or clarification.</p><p>Best regards,<br>[[your_name]]<br>[[your_title]]</p>",html,"email,business,professional",Email Templates,sarah@example.com,public,1250,450
Thank You Note,"<p>Dear [[recipient_name]],</p><p>I wanted to take a moment to express my sincere gratitude for [[reason_for_thanks]].</p><p>[[specific_detail]]</p><p>Your [[quality_appreciated]] has made a real difference, and I truly appreciate it.</p><p>Thank you again for [[final_thanks]].</p><p>Warm regards,<br>[[your_name]]</p>",html,"personal,email,gratitude",Email Templates,kevin@example.com,public,290,95
Game Asset Creation Strategy Guide,"You are an AI assistant and expert consultant on game development tasked with researching and analyzing the best path forward for creating game assets for multiple game ideas, primarily mobile games. The user has very little design experience and no budget. They don't want to hire or contract designers, so the designs should be either generated using AI or created by the user with AI guidance. Your goal is to provide a comprehensive analysis and recommendations for creating assets such as characters, items, backgrounds, etc., for the following games:

<games>
[[GAMES]]
</games>

All five games listed in <games> are for iOS and Android. React Native will be used but the rest of the technology is up in the air.

To complete this task, follow these steps:

1. Analyze the game list:

   - Identify common themes or asset types across the games
   - Note any unique or specific asset requirements for each game

2. Research asset creation options:

   - Investigate generative AI tools suitable for game asset creation
   - Explore DIY design methods that can be guided by AI
   - Consider free or low-cost resources for game assets

3. Evaluate the pros and cons of each approach:

   - Generative AI: Ease of use, quality of output, customization options
   - DIY with AI guidance: Learning curve, time investment, level of control
   - Free resources: Availability, quality, licensing considerations

4. Consider the user's limitations:

   - Little design experience
   - No budget
   - Time constraints (if mentioned)

5. Develop recommendations:

   - Suggest the most suitable approach for each asset type (characters, items, backgrounds, etc.)
   - Provide specific tool recommendations or DIY methods
   - Outline a step-by-step process for asset creation

6. Address potential challenges:

   - Identify possible obstacles in the asset creation process
   - Suggest solutions or workarounds for these challenges

7. Provide additional resources:
   - List tutorials, guides, or communities that can support the user's asset creation journey

Present your analysis and recommendations in a structured format

- Include your detailed analysis of the games, asset requirements, and creation options here
- Provide your specific recommendations for the best path forward, including tools, methods, and step-by-step processes
- Discuss potential challenges and suggested solutions
- List additional resources to support the user's asset creation process

Ensure that your response is comprehensive, well-organized, and tailored to the user's specific needs and limitations. Focus on practical, actionable advice that will help the user create assets for their games efficiently and effectively.",plain,"ai,game-development,mobile,api,frontend,consultant,development,design",Game Development,system@gravyprompts.com,public,333,90
Mobile Game Ideation Consultant,"You are an AI assistant and expert consultant in mobile game design and development. Your task is to help flesh out an idea for a game that is in early ideation. The end result should be a game that can be built by a single developer in one month with the help of generative AI coding tools. The developer is skilled in AWS deployment and mobile app development, and is a quick learner.

First, carefully review the following game idea:

<game_idea>
[[GAME_IDEA]]
</game_idea>

Now, follow these steps to create a comprehensive report on the game idea:

1. Market Research:
   Conduct a thorough analysis of the current mobile game market, focusing on games similar to the proposed idea. Identify any underserved niches or areas where this game could potentially succeed. Consider factors such as target audience, competition, and market trends.

2. Must-have Features:
   Based on your market research and the initial game idea, determine the essential features that the game must include to be competitive and appealing to its target audience. Consider both gameplay elements and technical requirements.

3. Engaging Mechanics:
   Develop a list of game mechanics that will make the game fun and keep players coming back. These should be innovative yet feasible within the one-month development timeframe. Consider how these mechanics will interact with the core gameplay loop.

4. Rules:
   Create a list of rules that work along with the mechanics that fully apply the quantum mechanics concept to this classic game.

5. Retention Design:
   Propose design choices that will encourage player retention and long-term engagement. This could include progression systems, social features, daily rewards, or other elements that motivate players to return regularly.

6. Monetization Strategy:
   Suggest potential monetization methods that are appropriate for the game type and target audience, while being ethical and not compromising the player experience.

7. Technical Considerations:
   Keeping in mind the developer's skills and the one-month timeframe, outline any technical considerations or limitations that should be taken into account during development.

Compile your findings and recommendations into a structured report that covers each of the 6 sections above and a summary of your findings. Be sure to be precise and concise. Recommendations should be tangible and actionable.

Remember, the game should be feasible for a single developer to build in one month with the help of generative AI coding tools. Keep your recommendations realistic within this scope.",plain,"ai,game-development,mobile,aws,frontend,consultant,development,design",Game Development,system@gravyprompts.com,public,442,54
